x,y,z,id,cv,ci
0,128,0,0,0.0015560104290032,6.4261244055582e-06
1,128,0,1,0.0015560104461974,6.4261243345572e-06
2,128,0,2,0.0015560104741672,6.4261242190602e-06
3,128,0,3,0.0015560104412644,6.4261243549276e-06
4,128,0,4,0.001556010449362,6.4261243214896e-06
5,128,0,5,0.0015560104469987,6.4261243312481e-06
6,128,0,6,0.0015560104481464,6.4261243265092e-06
7,128,0,7,0.0015560104478248,6.4261243278373e-06
8,128,0,8,0.0015560104473897,6.4261243296336e-06
9,128,0,9,0.0015560104479517,6.426124327313e-06
10,128,0,10,0.0015560104480442,6.4261243269311e-06
11,128,0,11,0.0015560104478973,6.4261243275378e-06
12,128,0,12,0.0015560104480383,6.4261243269557e-06
13,128,0,13,0.0015560104481819,6.4261243263626e-06
14,128,0,14,0.0015560104486617,6.4261243243813e-06
15,128,0,15,0.0015560104481054,6.4261243266784e-06
16,128,0,16,0.0015560104481571,6.426124326465e-06
17,128,0,17,0.0015560104478839,6.4261243275929e-06
18,128,0,18,0.001556010448666,6.4261243243638e-06
19,128,0,19,0.0015560104485959,6.4261243246531e-06
20,128,0,20,0.0015560104481052,6.4261243266793e-06
21,128,0,21,0.0015560104475914,6.4261243288008e-06
22,128,0,22,0.0015560104481342,6.4261243265595e-06
23,128,0,23,0.0015560104476108,6.4261243287207e-06
24,128,0,24,0.0015560104475852,6.4261243288264e-06
25,128,0,25,0.0015560104483175,6.4261243258029e-06
26,128,0,26,0.0015560104488846,6.4261243234611e-06
27,128,0,27,0.0015560104477979,6.4261243279483e-06
28,128,0,28,0.0015560104483104,6.4261243258321e-06
29,128,0,29,0.0015560104480678,6.4261243268339e-06
30,128,0,30,0.0015560104479575,6.4261243272891e-06
31,128,0,31,0.0015560104487614,6.4261243239699e-06
32,128,0,32,0.0015560104486135,6.4261243245804e-06
33,128,0,33,0.0015560104482729,6.4261243259867e-06
34,128,0,34,0.0015560104476586,6.4261243285232e-06
35,128,0,35,0.0015560104486152,6.4261243245733e-06
36,128,0,36,0.0015560104480346,6.4261243269706e-06
37,128,0,37,0.0015560104478091,6.4261243279019e-06
38,128,0,38,0.0015560104485568,6.4261243248145e-06
39,128,0,39,0.0015560104482549,6.4261243260614e-06
40,128,0,40,0.0015560104474116,6.4261243295433e-06
41,128,0,41,0.001556010447913,6.4261243274727e-06
42,128,0,42,0.001556010447807,6.4261243279106e-06
43,128,0,43,0.0015560104482375,6.4261243261331e-06
44,128,0,44,0.0015560104480577,6.4261243268755e-06
45,128,0,45,0.0015560104480128,6.426124327061e-06
46,128,0,46,0.0015560104484223,6.4261243253701e-06
47,128,0,47,0.0015560104481243,6.4261243266005e-06
48,128,0,48,0.0015560104478613,6.4261243276864e-06
49,128,0,49,0.0015560104485054,6.4261243250268e-06
50,128,0,50,0.0015560104480038,6.4261243270978e-06
51,128,0,51,0.0015560104480032,6.4261243271004e-06
52,128,0,52,0.0015560104478088,6.4261243279033e-06
53,128,0,53,0.0015560104484335,6.4261243253239e-06
54,128,0,54,0.0015560104477063,6.4261243283265e-06
55,128,0,55,0.001556010448312,6.4261243258253e-06
56,128,0,56,0.0015560104486077,6.4261243246044e-06
57,128,0,57,0.0015560104485084,6.4261243250144e-06
58,128,0,58,0.001556010448282,6.4261243259495e-06
59,128,0,59,0.0015560104483438,6.426124325694e-06
60,128,0,60,0.0015560104475995,6.4261243287672e-06
61,128,0,61,0.0015560104476575,6.4261243285278e-06
62,128,0,62,0.0015560104480532,6.4261243268939e-06
63,128,0,63,0.0015560104476069,6.4261243287369e-06
64,128,0,64,0.0015560104476526,6.4261243285482e-06
65,128,0,65,0.0015560104479654,6.4261243272565e-06
66,128,0,66,0.0015560104482813,6.4261243259521e-06
67,128,0,67,0.001556010448657,6.4261243244008e-06
68,128,0,68,0.0015560104479201,6.4261243274435e-06
69,128,0,69,0.0015560104483051,6.4261243258537e-06
70,128,0,70,0.0015560104486112,6.42612432459e-06
71,128,0,71,0.0015560104473782,6.4261243296811e-06
72,128,0,72,0.0015560104474815,6.4261243292548e-06
73,128,0,73,0.0015560104482323,6.4261243261547e-06
74,128,0,74,0.0015560104487257,6.4261243241173e-06
75,128,0,75,0.0015560104473239,6.4261243299052e-06
76,128,0,76,0.0015560104479956,6.4261243271318e-06
77,128,0,77,0.0015560104479393,6.4261243273641e-06
78,128,0,78,0.0015560104479161,6.4261243274602e-06
79,128,0,79,0.00155601044761,6.4261243287242e-06
80,128,0,80,0.0015560104480364,6.4261243269633e-06
81,128,0,81,0.0015560104481431,6.4261243265226e-06
82,128,0,82,0.0015560104479686,6.4261243272433e-06
83,128,0,83,0.0015560104478034,6.4261243279253e-06
84,128,0,84,0.0015560104484224,6.4261243253695e-06
85,128,0,85,0.0015560104483606,6.4261243256246e-06
86,128,0,86,0.0015560104477771,6.426124328034e-06
87,128,0,87,0.001556010447731,6.4261243282244e-06
88,128,0,88,0.0015560104482926,6.4261243259054e-06
89,128,0,89,0.0015560104480325,6.4261243269794e-06
90,128,0,90,0.0015560104476812,6.4261243284298e-06
91,128,0,91,0.0015560104480695,6.4261243268266e-06
92,128,0,92,0.0015560104477985,6.4261243279456e-06
93,128,0,93,0.0015560104476969,6.4261243283654e-06
94,128,0,94,0.0015560104481821,6.4261243263618e-06
95,128,0,95,0.0015560104478736,6.4261243276355e-06
