x,Ci_center,Cv_center,Ci_average,Cv_average
5.0,1.2223308050301e-12,7.1278893552619e-09,7.7903975399017e-13,4.5563039092553e-09
50.0,8.823750004683e-11,5.2222152135382e-07,5.4810405387751e-11,3.2437489390067e-07
250.0,1.0114403317849e-10,1.4276556901208e-06,1.1098386654033e-10,1.9130604313863e-06
500.0,4.0521711019118e-11,3.6972459357058e-06,5.0076595477112e-11,5.4764184479678e-06
1000.0,1.0737940303003e-11,1.3908928441139e-05,8.1572868650514e-12,8.6138641151067e-06
2000.0,2.7392741572829e-12,5.4420858702213e-05,2.3659891814177e-12,3.365537686772e-05
3000.0,1.2731703493483e-12,0.00011705255793795,1.1677431070103e-12,7.2288604698375e-05
4000.0,7.4162018968097e-13,0.00020093163367558,7.0748505873081e-13,0.00012396415941484
5000.0,5.098250181145e-13,0.00029227884311533,4.9705557194928e-13,0.00017991992710123
