"injected_interstitials_i","source_i","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.0652e-22,3.3673e-20,1,0,0,0,0
2.1797e-22,3.5221e-20,1,2.5,2.5,0,0
2.3491e-22,3.7486e-20,1,5,5,0,0
2.4641e-22,3.9008e-20,1,7.5,7.5,0,0
2.5845e-22,4.0588e-20,1,10,10,0,0
2.776e-22,4.3076e-20,1,12.5,12.5,0,0
2.9112e-22,4.4814e-20,1,15,15,0,0
3.1262e-22,4.7549e-20,1,17.5,17.5,0,0
3.278e-22,4.946e-20,1,20,20,0,0
3.5191e-22,5.2465e-20,1,22.5,22.5,0,0
3.6894e-22,5.4566e-20,1,25,25,0,0
3.9599e-22,5.7867e-20,1,27.5,27.5,0,0
4.1508e-22,6.0174e-20,1,30,30,0,0
4.454e-22,6.38e-20,1,32.5,32.5,0,0
4.668e-22,6.6333e-20,1,35,35,0,0
5.0079e-22,7.0313e-20,1,37.5,37.5,0,0
5.2476e-22,7.3092e-20,1,40,40,0,0
5.6283e-22,7.7459e-20,1,42.5,42.5,0,0
5.8969e-22,8.0509e-20,1,45,45,0,0
6.3231e-22,8.5298e-20,1,47.5,47.5,0,0
6.6237e-22,8.8642e-20,1,50,50,0,0
7.1008e-22,9.3893e-20,1,52.5,52.5,0,0
7.4372e-22,9.7558e-20,1,55,55,0,0
7.971e-22,1.0331e-19,1,57.5,57.5,0,0
8.3473e-22,1.0733e-19,1,60,60,0,0
8.9443e-22,1.1363e-19,1,62.5,62.5,0,0
9.365e-22,1.1803e-19,1,65,65,0,0
1.0032e-21,1.2493e-19,1,67.5,67.5,0,0
1.0503e-21,1.2974e-19,1,70,70,0,0
1.1248e-21,1.373e-19,1,72.5,72.5,0,0
1.1774e-21,1.4257e-19,1,75,75,0,0
1.2606e-21,1.5083e-19,1,77.5,77.5,0,0
1.3193e-21,1.5659e-19,1,80,80,0,0
1.4123e-21,1.6563e-19,1,82.5,82.5,0,0
1.4778e-21,1.7193e-19,1,85,85,0,0
1.5816e-21,1.8181e-19,1,87.5,87.5,0,0
1.6547e-21,1.8869e-19,1,90,90,0,0
1.7704e-21,1.9949e-19,1,92.5,92.5,0,0
1.8519e-21,2.0701e-19,1,95,95,0,0
1.981e-21,2.188e-19,1,97.5,97.5,0,0
2.0719e-21,2.2701e-19,1,100,100,0,0
2.2158e-21,2.3988e-19,1,102.5,102.5,0,0
2.3171e-21,2.4885e-19,1,105,105,0,0
2.4774e-21,2.6289e-19,1,107.5,107.5,0,0
2.5902e-21,2.7268e-19,1,110,110,0,0
2.7688e-21,2.88e-19,1,112.5,112.5,0,0
2.8944e-21,2.9866e-19,1,115,115,0,0
3.0933e-21,3.1537e-19,1,117.5,117.5,0,0
3.2331e-21,3.27e-19,1,120,120,0,0
